학교명,학교급구분,설립형태,소재지도로명주소,위도,경도,변경일자
청원초등학교,초등학교,사립,서울특별시 노원구 한글비석로 506,37.66525155,127.0625329,2025-10-25
서울정화고등학교,고등학교,사립,서울특별시 동대문구 홍릉로15길 50,37.58604864,127.0410703,2025-10-25
서울송정초등학교,초등학교,공립,서울특별시 강서구 공항대로3길 18,37.56223089,126.8102813,2025-10-25
봉원중학교,중학교,공립,서울특별시 관악구 관악로24가길 15,37.48410274,126.9588909,2025-10-25
동마중학교,중학교,공립,서울특별시 성동구 마조로11길 18,37.56280251,127.0403512,2025-10-25
서울과학고등학교,고등학교,공립,서울특별시 종로구 혜화로 63,37.59154805,126.9984363,2025-10-25
양재고등학교,고등학교,공립,서울특별시 서초구 남부순환로346길 9,37.48242164,127.0320796,2025-10-25
서울면남초등학교,초등학교,공립,서울특별시 중랑구 면목로30나길 38,37.57725972,127.0876664,2025-10-25
서울신학초등학교,초등학교,공립,서울특별시 도봉구 방학로 247-21,37.66122045,127.0257213,2025-10-25
송파중학교,중학교,공립,서울특별시 송파구 동남로 203,37.49592462,127.1299138,2025-10-25
개포고등학교,고등학교,공립,서울특별시 강남구 개포로 402,37.48495285,127.0594065,2025-10-25
압구정중학교,중학교,공립,서울특별시 강남구 압구정로 225,37.53024224,127.0330027,2025-10-25
당곡고등학교,고등학교,공립,서울특별시 관악구 봉천로21길 108,37.49176034,126.9342464,2025-10-25
하계중학교,중학교,공립,서울특별시 노원구 노원로 261-8,37.64136991,127.0723336,2025-10-25
문일고등학교,고등학교,사립,서울특별시 금천구 시흥대로47길 45,37.44891526,126.8987207,2025-10-25
서울방일초등학교,초등학교,공립,서울특별시 서초구 방배로18길 52,37.4852056,126.998849,2025-10-25
서울보라매초등학교,초등학교,공립,서울특별시 동작구 여의대방로16길 30,37.49585189,126.9161445,2025-10-25
경문고등학교,고등학교,사립,서울특별시 동작구 동작대로 171,37.49341886,126.9822734,2025-10-25
석관고등학교,고등학교,공립,서울특별시 성북구 한천로70길 30,37.60958929,127.0667176,2025-10-25
장평중학교,중학교,공립,서울특별시 동대문구 답십리로72길 158,37.56685961,127.0704776,2025-10-25
서울광희초등학교,초등학교,공립,서울특별시 중구 다산로 269,37.56729928,127.0156879,2025-10-25
서울신계초등학교,초등학교,공립,서울특별시 노원구 초안산로 29,37.62979163,127.052769,2025-10-25
서울면일초등학교,초등학교,공립,서울특별시 중랑구 용마산로100길 13,37.5920416,127.0997947,2025-10-25
인헌고등학교,고등학교,공립,서울특별시 관악구 인헌9길 74,37.47231073,126.9704851,2025-10-25
서울창경초등학교,초등학교,공립,서울특별시 도봉구 도봉로129길 54,37.65660218,127.0346025,2025-10-25
서문여자중학교,중학교,사립,서울특별시 서초구 동광로12길 84,37.48891973,126.9845622,2025-10-25
정화여자중학교,중학교,사립,서울특별시 동대문구 홍릉로15길 50,37.58604864,127.0410078,2025-10-25
상원중학교,중학교,공립,서울특별시 노원구 수락산로 182,37.67176621,127.0595044,2025-10-25
해성국제컨벤션고등학교,고등학교,사립,서울특별시 동대문구 전농로20길 31,37.5818726,127.0569769,2025-10-25
서울장수초등학교,초등학교,공립,서울특별시 양천구 신정로13가길 30,37.5129972,126.8451597,2025-10-25
서울금화초등학교,초등학교,공립,서울특별시 서대문구 통일로 165,37.56882755,126.9629414,2025-10-25
서울영풍초등학교,초등학교,공립,서울특별시 송파구 오금로57길 15,37.49622,127.1430148,2025-10-25
중화고등학교,고등학교,공립,서울특별시 중랑구 봉화산로27길 62,37.60481461,127.0836541,2025-10-25
성수중학교,중학교,공립,서울특별시 성동구 서울숲길 18,37.54734181,127.0382534,2025-10-25
동덕여자중학교,중학교,사립,서울특별시 서초구 효령로2길 123-5,37.47587863,126.991995,2025-10-25
서울서정초등학교,초등학교,공립,서울특별시 양천구 목동로8길 19,37.52345012,126.8672362,2025-10-25
용화여자고등학교,고등학교,사립,서울특별시 노원구 동일로 1461,37.65913138,127.0582807,2025-10-25
석촌중학교,중학교,공립,서울특별시 송파구 송이로15길 13,37.50145499,127.1211174,2025-10-25
광신중학교,중학교,사립,서울특별시 관악구 광신길 141,37.4644762,126.9259406,2025-10-25
화원중학교,중학교,공립,서울특별시 강서구 강서로17나길 86,37.53621409,126.8424164,2025-10-25
해성여자고등학교,고등학교,사립,서울특별시 동대문구 전농로20길 31,37.5818726,127.0569769,2025-10-25
고척고등학교,고등학교,공립,서울특별시 구로구 중앙로15길 162,37.50804938,126.8498691,2025-10-25
인덕과학기술고등학교,고등학교,사립,서울특별시 노원구 초안산로 12,37.63034387,127.0544999,2025-10-25
고척중학교,중학교,공립,서울특별시 구로구 중앙로3길 20,37.49974083,126.8613425,2025-10-25
서울도봉초등학교,초등학교,공립,서울특별시 도봉구 도봉로173길 96,37.67996175,127.0382887,2025-10-25
서울구로남초등학교,초등학교,공립,서울특별시 구로구 디지털로27길 76,37.48420602,126.8902182,2025-10-25
전농중학교,중학교,공립,서울특별시 동대문구 사가정로13길 71,37.58204428,127.0592794,2025-10-25
